net,length_um
_04422_,177.35
_04580_,177.13
_02728_,176.81
_06702_,176.64
_03036_,176.54
_02784_,176.48
_08585_,176.22
_07992_,175.86
_08740_,175.53
_08256_,175.36
clknet_1_0__leaf__08511_,175.33
_07379_,174.72
_03390_,174.26
_07526_,173.62
_07134_,173.46
_07870_,173.45
clknet_0__08462_,173.28
_03795_,173.26
_06665_,172.8
_05207_,171.84
_07401_,171.68
_06639_,171.58
_07512_,171.28
_02851_,170.94
_04579_,170.9
_03053_,170.88
_03736_,170.79
_03183_,170.19
clknet_0__08341_,170.11
_04656_,170.04
_04662_,169.98
_07695_,169.9
_08515_,169.83
_08181_,169.3
_07597_,169.16
CPU.PC\[19\],168.7
_08029_,168.66
_03643_,168.52
_04479_,168.26
clknet_0__08370_,167.76
_03656_,167.62
_06868_,167.58
_03275_,167.36
_08695_,167.3
_05517_,167.115
_03282_,167.08
_08771_,166.63
_03082_,166.59
_08574_,166.25
_03157_,166.08
_03961_,166.06
_06495_,165.79
_05800_,165.74
_05211_,165.26
_08239_,165.05
_04362_,164.4
_05802_,164.38
_07238_,163.76
_08065_,163.5
_05678_,163.23
_06176_,162.66
_08004_,162.64
_06872_,162.4
CPU.PC\[22\],162.37
_06280_,162.32
_03705_,162.3
_07848_,161.995
_04612_,161.91
_08837_,161.72
_03688_,161.6
clknet_1_0__leaf__08457_,161.51
_03268_,161.49
_08458_,161.38
_04360_,161.32
_07069_,161.26
_04542_,161.165
_08076_,161.1
_03963_,161.03
clknet_0__03640_,161
_07312_,160.9
_07709_,160.58
_08785_,160.57
_02808_,160.49
_07561_,160.22
_07673_,160.16
clknet_1_1__leaf__03688_,159.93
_03161_,159.68
_03459_,159.32
_08528_,159.24
_05858_,159.17
_04550_,159.14
_07249_,159.07
_07692_,158.78
_05742_,158.71
_04208_,158.69
clknet_0__08492_,158.4
clknet_1_0__leaf__03640_,158.04
_05764_,157.56
_06505_,157.56
_04855_,157.54
_08015_,157.37
_03006_,157.045
_03218_,156.94
_04180_,156.69
_04637_,156.58
_03138_,156.39
CPU.PC\[20\],156.23
_08791_,155.77
CPU.PC\[17\],155.59
_06530_,155.56
_02960_,155.5
clknet_0__08506_,155.28
_05914_,155.2
_04503_,154.51
CPU.PC\[16\],154.44
_03172_,153.89
_06293_,153.865
clknet_1_0__leaf__03684_,153.69
_02814_,153.22
clknet_0__05015_,153.21
_04506_,153.04
_07501_,153.03
_04380_,153.02
_05015_,152.98
_02768_,152.92
CPU.PC\[15\],152.68
_05758_,152.665
clknet_1_1__leaf__04982_,152.62
clknet_1_1__leaf__08451_,152.59
_06838_,152.5
_04521_,152.3
clknet_0__08503_,152.29
CPU.PC\[18\],152.05
_06439_,151.72
_06553_,151.43
_06853_,151.07
_07132_,151.04
_02856_,150.885
CPU.PC\[23\],150.86
_03712_,150.82
_08482_,150.72
net15,150.4
_02751_,150.39
_06788_,150.135
_02928_,150.11
_07755_,149.34
_04509_,149.17
_08087_,149.14
_05799_,149.04
CPU.registerFile\[12\]\[16\],149.02
CPU.state\[1\],149.01
